Name: CCTV-8, URL: http://60.16.0.216:5757/hls/9/index.m3u8, IPv_Type: ipv4, Location: 中国-辽宁-沈阳, ISP: 联通, Date: None, Delay: 12071 ms, Speed: 0.03 M/s, Resolution: None
Name: CCTV-8, URL: http://116.128.242.83:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0, IPv_Type: ipv4, Location: 中国-湖南-长沙, ISP: 联通, Date: None, Delay: 873 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-8, URL: http://116.128.242.83:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0, IPv_Type: ipv4, Location: 中国-湖南-长沙, ISP: 联通, Date: None, Delay: 873 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-8, URL: http://183.222.242.31:8088/hls/8/index.m3u8, IPv_Type: ipv4, Location: 中国-四川-成都, ISP: 移动, Date: None, Delay: 12243 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-9, URL: http://112.132.10.54:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0, IPv_Type: ipv4, Location: 中国-安徽-阜阳, ISP: 联通, Date: None, Delay: 12624 ms, Speed: 0.16 M/s, Resolution: None
Name: CCTV-9, URL: http://112.132.10.54:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0, IPv_Type: ipv4, Location: 中国-安徽-阜阳, ISP: 联通, Date: None, Delay: 12624 ms, Speed: 0.16 M/s, Resolution: None
Name: CCTV-9, URL: http://1.180.2.93:9901/tsfile/live/0009_1.m3u8?key=txiptv, IPv_Type: ipv4, Location: 中国-内蒙古-呼和浩特, ISP: 电信, Date: None, Delay: 12593 ms, Speed: 0.09 M/s, Resolution: None
Name: CCTV-9, URL: http://60.16.0.216:5757/hls/10/index.m3u8, IPv_Type: ipv4, Location: 中国-辽宁-沈阳, ISP: 联通, Date: None, Delay: 12071 ms, Speed: 0.03 M/s, Resolution: None
Name: CCTV-9, URL: http://116.128.242.83:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0, IPv_Type: ipv4, Location: 中国-湖南-长沙, ISP: 联通, Date: None, Delay: 873 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-9, URL: http://183.222.242.31:8088/hls/9/index.m3u8, IPv_Type: ipv4, Location: 中国-四川-成都, ISP: 移动, Date: None, Delay: 12243 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-9, URL: http://ygbh.site/php/bfgd.php?id=128, IPv_Type: ipv4, Location: 美国-加利福尼亚州, ISP: , Date: None, Delay: 12018 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-9, URL: http://ygbh.site/php/bfgd.php?id=128, IPv_Type: ipv4, Location: 美国-加利福尼亚州, ISP: , Date: None, Delay: 12018 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-10, URL: http://112.132.10.54:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0, IPv_Type: ipv4, Location: 中国-安徽-阜阳, ISP: 联通, Date: None, Delay: 12624 ms, Speed: 0.16 M/s, Resolution: None
Name: CCTV-10, URL: http://1.180.2.93:9901/tsfile/live/0010_1.m3u8?key=txiptv, IPv_Type: ipv4, Location: 中国-内蒙古-呼和浩特, ISP: 电信, Date: None, Delay: 12593 ms, Speed: 0.09 M/s, Resolution: None
Name: CCTV-10, URL: http://116.128.242.83:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0, IPv_Type: ipv4, Location: 中国-湖南-长沙, ISP: 联通, Date: None, Delay: 873 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-10, URL: http://183.222.242.31:8088/hls/10/index.m3u8, IPv_Type: ipv4, Location: 中国-四川-成都, ISP: 移动, Date: None, Delay: 12243 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-10, URL: http://ygbh.site/php/bfgd.php?id=129, IPv_Type: ipv4, Location: 美国-加利福尼亚州, ISP: , Date: None, Delay: 12018 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-11, URL: http://112.132.10.54:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0, IPv_Type: ipv4, Location: 中国-安徽-阜阳, ISP: 联通, Date: None, Delay: 12624 ms, Speed: 0.16 M/s, Resolution: None
Name: CCTV-11, URL: http://1.180.2.93:9901/tsfile/live/0011_1.m3u8?key=txiptv, IPv_Type: ipv4, Location: 中国-内蒙古-呼和浩特, ISP: 电信, Date: None, Delay: 12593 ms, Speed: 0.09 M/s, Resolution: None
Name: CCTV-11, URL: http://60.16.0.216:5757/hls/12/index.m3u8, IPv_Type: ipv4, Location: 中国-辽宁-沈阳, ISP: 联通, Date: None, Delay: 12071 ms, Speed: 0.03 M/s, Resolution: None
Name: CCTV-11, URL: http://116.128.242.83:9901/tsfile/live/0012_1.m3u8, IPv_Type: ipv4, Location: 中国-湖南-长沙, ISP: 联通, Date: None, Delay: 873 ms, Speed: 0.01 M/s, Resolution: None
Name: CCTV-11, URL: http://183.222.242.31:8088/hls/11/index.m3u8, IPv_Type: ipv4, Location: 中国-四川-成都, ISP: 移动, Date: None, Delay: 12243 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-11, URL: https://cc06.tv12.xyz/12.m3u8, IPv_Type: ipv6, Location: 美国, ISP: CloudFlare Inc., Date: None, Delay: 12862 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-11, URL: https://cc06.tv12.xyz/12.m3u8, IPv_Type: ipv6, Location: 美国, ISP: CloudFlare Inc., Date: None, Delay: 12862 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-11, URL: http://ygbh.site/php/bfgd.php?id=130, IPv_Type: ipv4, Location: 美国-加利福尼亚州, ISP: , Date: None, Delay: 12018 ms, Speed: 0.00 M/s, Resolution: None
Name: CCTV-12, URL: http://1.180.2.93:9901/tsfile/live/0012_1.m3u8?key=txiptv, IPv_Type: ipv4, Location: 中国-内蒙古-呼和浩特, ISP: 电信, Date: None, Delay: 12593 ms, Speed: 0.09 M/s, Resolution: None
Name: CCTV-12, URL: http://60.16.0.216:5757/hls/13/index.m3u8, IPv_Type: ipv4, Location: 中国-辽宁-沈阳, ISP: 联通, Date: None, Delay: 12071 ms, Speed: 0.03 M/s, Resolution: None
